Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
2264,2022-12-01,12.0,10.0,11.71,116754.26,7,0,1.71,17.08
549,2022-12-01,24.0,20.0,43.6,5578.93,7,0,23.6,118.02
1679,2022-12-01,1.0,7.0,11.76,8000.0,1,0,4.76,67.94
736,2022-12-01,3.0,1.0,12.05,34333.33,3,0,11.05,1104.95
1098,2022-12-01,5.0,6.0,13.04,12400.0,5,0,7.04,117.29
1097,2022-12-01,2.0,36.0,19.14,10000.0,1,0,16.86,46.83
1090,2022-12-01,6.0,2.0,19.78,12836.53,1,0,17.78,888.86
644,2022-12-01,3.0,12.0,14.57,23930.83,3,0,2.57,21.4
1088,2022-12-01,2.0,11.0,10.97,22500.0,1,0,0.03,0.28
2247,2022-12-01,7.0,3.0,9.72,1527.5,3,0,6.72,224.08
1109,2022-12-01,21.0,26.0,24.65,6235.72,4,0,1.35,5.19
620,2022-12-01,10.0,77.0,49.94,1438.5,4,0,27.06,35.14
2246,2022-12-01,2.0,35.0,24.04,1000.0,1,0,10.96,31.3
547,2022-12-01,3.0,9.0,23.78,8250.0,2,0,14.78,164.22
2149,2022-12-01,6.0,18.0,8.86,94422.5,3,0,9.14,50.76
2234,2022-12-01,4.0,2.0,10.05,25000.0,2,0,8.05,402.59
1777,2022-12-01,10.0,56.0,35.93,20844.04,1,0,20.07,35.83
169,2022-12-01,4.0,1.0,8.17,6565.0,4,0,7.17,716.67
2238,2022-12-01,3.0,5.0,9.44,2400.0,3,0,4.44,88.88
T6329,2022-12-01,7.0,24.0,18.6,363.08,3,1,5.4,22.51
1111,2022-12-01,31.0,56.0,22.07,8178.04,9,0,33.93,60.58
2137,2022-12-01,2.0,4.0,13.66,13500.0,2,0,9.66,241.41
1782,2022-12-01,4.0,22.0,20.28,6330.0,2,0,1.72,7.8
966,2022-12-01,1.0,5.0,8.96,160000.0,1,0,3.96,79.18
2239,2022-12-01,4.0,18.0,15.06,3000.0,2,0,2.94,16.34
583,2022-12-01,8.0,27.0,16.59,40838.57,7,0,10.41,38.54
373,2022-12-01,6.0,2.0,8.51,54410.37,1,0,6.51,325.65
1128,2022-12-01,2.0,4.0,14.61,25320.0,1,0,10.61,265.22
1292,2022-12-01,8.0,34.0,30.61,5138.75,4,0,3.39,9.97
1110,2022-12-01,42.0,63.0,49.9,7089.87,6,0,13.1,20.8
1688,2022-12-01,38.0,65.0,50.11,1041.5,10,1,14.89,22.9
2240,2022-12-01,5.0,69.0,43.68,2603.13,4,0,25.32,36.69
T6555,2022-12-01,4.0,32.0,17.99,1318.75,1,0,14.01,43.78
64,2022-12-01,2.0,1.0,9.7,89500.0,2,0,8.7,869.59
507,2022-12-01,2.0,10.0,18.04,3200.0,1,0,8.04,80.37
T7161,2022-12-01,1.0,15.0,25.37,100.0,1,0,10.37,69.13
2244,2022-12-01,1.0,20.0,20.63,1000.0,1,0,0.63,3.13
432,2022-12-01,17.0,6.0,10.81,17733.9,4,0,4.81,80.16
967,2022-12-01,2.0,20.0,27.16,156140.0,1,0,7.16,35.81
621,2022-12-01,5.0,7.0,10.51,1100.0,3,0,3.51,50.19
2482,2022-12-01,257.0,44.0,42.52,1737.41,7,1,1.48,3.37
658,2022-12-01,154.0,68.0,63.42,3056.29,23,1,4.58,6.73
309,2022-12-01,2.0,39.0,34.02,47475.0,1,0,4.98,12.77
558,2022-12-01,6.0,2.0,9.24,4840.0,5,0,7.24,361.78
1014,2022-12-01,14.5,41.5,30.47,93727.61,10,0,11.03,26.58
455,2022-12-01,144.0,64.0,54.11,5976.47,16,1,9.89,15.46
270,2022-12-01,2.0,1.0,15.31,31650.0,1,0,14.31,1431.3
1403,2022-12-01,46.0,1.0,10.95,50577.93,2,0,9.95,995.15
626,2022-12-01,5.0,2.0,16.42,600.0,1,0,14.42,721.09
416,2022-12-01,8.0,10.0,11.24,49305.14,3,0,1.24,12.42
675,2022-12-01,5.0,2.0,8.73,19000.0,2,0,6.73,336.7
1405,2022-12-01,1.0,6.0,9.85,8500.0,1,0,3.85,64.21
T175,2022-12-01,22.0,36.0,36.54,156.19,4,1,0.54,1.51
BANDASPOOL,2022-12-01,7.0,28.0,21.52,9571.43,7,0,6.48,23.16
271,2022-12-01,6.0,22.0,19.88,30412.5,4,0,2.12,9.64
1496,2022-12-01,3.0,6.0,9.68,14150.0,2,0,3.68,61.29
1013,2022-12-01,29.0,61.0,40.48,94269.97,15,0,20.52,33.64
T6523,2022-12-01,15.0,11.0,12.11,554.17,6,1,1.11,10.1
1891,2022-12-01,3.0,18.0,15.72,107000.0,2,0,2.28,12.67
296,2022-12-01,1.0,3.0,13.55,20000.0,1,0,10.55,351.68
T9226,2022-12-01,2.0,39.0,19.1,205.5,2,0,19.9,51.02
1837,2022-12-01,2.0,2.0,9.69,27250.0,2,0,7.69,384.55
486,2022-12-01,7.0,18.0,9.75,74297.58,4,0,8.25,45.81
274,2022-12-01,21.0,9.0,15.99,4600.0,2,0,6.99,77.66
627,2022-12-01,14.0,26.0,19.45,506.88,7,1,6.55,25.2
1494,2022-12-01,1.0,32.0,21.74,18000.0,1,0,10.26,32.06
1012,2022-12-01,11.0,41.0,14.63,203458.07,4,0,26.37,64.3
410,2022-12-01,3.0,4.0,10.24,47475.0,2,0,6.24,155.92
457,2022-12-01,27.0,42.0,27.61,87670.83,12,0,14.39,34.26
1410,2022-12-01,9.0,17.0,13.28,63597.19,3,0,3.72,21.86
693,2022-12-01,4.0,2.0,9.86,6500.0,2,0,7.86,392.85
T105,2022-12-01,9.0,1.0,8.21,1112.1,5,0,7.21,720.72
458,2022-12-01,1.0,49.0,29.27,126600.0,1,0,19.73,40.27
297,2022-12-01,4.0,5.0,9.45,12000.0,4,0,4.45,89.1
397,2022-12-01,5.0,3.0,9.75,28275.75,2,0,6.75,224.98
1396,2022-12-01,12.0,56.0,29.19,23107.91,6,0,26.81,47.87
601,2022-12-01,1.0,10.0,10.23,13187.5,1,0,0.23,2.32
1017,2022-12-01,11.5,68.0,34.53,112896.8,5,0,33.47,49.22
698,2022-12-01,7.0,17.0,20.2,4120.0,6,0,3.2,18.81
1184,2022-12-01,18.0,45.0,49.04,15008.64,11,0,4.04,8.98
605,2022-12-01,7.0,72.0,22.27,4155.0,4,0,49.73,69.07
2660,2022-12-01,7.0,22.0,10.72,45714.29,7,0,11.28,51.25
573,2022-12-01,2.0,4.0,10.81,7000.0,2,0,6.81,170.27
532,2022-12-01,11.0,26.0,23.69,18422.5,6,0,2.31,8.87
1390,2022-12-01,4.0,2.0,11.43,66953.2,3,0,9.43,471.25
396,2022-12-01,24.0,66.0,43.73,35053.37,3,0,22.27,33.75
1896,2022-12-01,7.0,3.0,13.7,2036.67,3,0,10.7,356.74
300,2022-12-01,12.0,28.0,23.69,16165.91,11,0,4.31,15.39
1016,2022-12-01,2.0,8.0,16.52,132000.0,2,0,8.52,106.51
1206,2022-12-01,34.0,62.0,52.43,10244.23,26,0,9.57,15.44
159,2022-12-01,8.0,12.0,18.96,2500.0,2,0,6.96,58.0
535,2022-12-01,14.0,51.0,57.75,6150.0,13,0,6.75,13.24
998,2022-12-01,1.0,23.0,14.11,310000.0,1,0,8.89,38.67
152,2022-12-01,4.0,2.0,13.22,3000.0,2,0,11.22,561.16
1819,2022-12-01,8.0,6.0,13.38,51021.25,4,0,7.38,123.04
2685,2022-12-01,9.0,13.0,27.21,14732.79,7,0,14.21,109.32
919,2022-12-01,2.0,4.0,13.08,2500.0,2,0,9.08,226.89
151,2022-12-01,4.0,54.0,14.35,3500.0,2,0,39.65,73.42
697,2022-12-01,11.0,1.0,11.42,4373.75,2,0,10.42,1042.08
1395,2022-12-01,5.0,23.0,14.56,147611.72,3,0,8.44,36.71
1502,2022-12-01,2.0,25.0,9.85,10000.0,1,0,15.15,60.62
1895,2022-12-01,2.0,4.0,19.54,1000.0,1,0,15.54,388.41
182,2022-12-01,2.0,34.0,14.42,6000.0,1,0,19.58,57.59
561,2022-12-01,2.0,30.0,21.29,5802.5,1,0,8.71,29.02
673,2022-12-01,8.0,13.0,15.9,29385.0,4,0,2.9,22.31
1412,2022-12-01,1.0,4.0,10.13,10550.0,1,0,6.13,153.25
